"ИД";"Ссылка";"Картинка"
"1246";"/katalog_tovarov1/aksessuary/derzhateli/120116_kreplenie_k_shtativu_016_mm/";"/images/imgulab/aksessuar/135x135/1-201-16s.jpg"
"1247";"/katalog_tovarov1/aksessuary/derzhateli/120121_kreplenie_k_shtativu021_mm/";"/images/imgulab/aksessuar/135x135/1-201-21s.jpg"
"1248";"/katalog_tovarov1/aksessuary/derzhateli/120124_kreplenie_k_shtativu024_mm/";"/images/imgulab/aksessuar/135x135/1-201-24s.jpg"
"1285";"/katalog_tovarov1/aksessuary/kontroller_dlya_pipetok/63001_kontroller_dlya_piptetok_mehanicheskij/";"/images/imgulab/135x135/6-300-1.jpg"
"1286";"/katalog_tovarov1/aksessuary/kontroller_dlya_pipetok/63002_kontroller_dlya_piptetok_avtomaticheskij/";"/images/imgulab/aksessuar/scilogex-levo-me-motorized-pipette-filler_s.jpg"
"1292";"/katalog_tovarov1/aksessuary/podstavka_korkovaya/6450120_podstavka_korkovaya_dlya_kolb_na_500_ml_120_mm/";"/images/imgulab/135x135/6-450-120-140.jpg"
"1288";"/katalog_tovarov1/aksessuary/ersh_probirochnyj/64001_ersh_probirochnyj_malenkij/";"/images/imgulab/135x135/6-400-1-2-3.jpg"
"1293";"/katalog_tovarov1/aksessuary/podstavka_korkovaya/6450140_podstavka_korkovaya_dlya_kolb_na_1000_ml_140_mm/";"/images/imgulab/135x135/6-450-120-140.jpg"
"1289";"/katalog_tovarov1/aksessuary/ersh_probirochnyj/64002_ersh_probirochnyj_srednij/";"/images/imgulab/135x135/6-400-1-2-3.jpg"
"1290";"/katalog_tovarov1/aksessuary/ersh_probirochnyj/64003_ersh_probirochnyj_bolshoj/";"/images/imgulab/135x135/6-400-1-2-3.jpg"
"992";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/schetchik_kolonij/ut5501/";"/images/imgulab/obshelab/135/UT-5501s.jpg"
"993";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/schetchik_kolonij/ut5502_schetchik_kolonij_150_mm/";"/images/imgulab/obshelab/135/UT-5502s.jpg"
"1301";"/katalog_tovarov1/aksessuary/tajmery_laboratornye/62001_tajmer_laboratornyj_4h_kanalnyj/";"/images/imgulab/aksessuar/135x135/6-200-1s.jpg"
"1302";"/katalog_tovarov1/aksessuary/tajmery_laboratornye/62002_tajmer_laboratornyj_3h_kanalnyj/";"/images/imgulab/aksessuar/135x135/6-200-2s.jpg"
"1308";"/katalog_tovarov1/aksessuary/meshalniki/8257_magnitnyj_yakor_25h7_mm/";"/images/imgulab/135x135/8-25-40-60.jpg"
"1309";"/katalog_tovarov1/aksessuary/meshalniki/8408_magnitnyj_yakor_40h8_mm/";"/images/imgulab/135x135/8-25-40-60.jpg"
"15048";"/katalog_tovarov1/aksessuary/meshalniki/8508_magnitnyj_yakor_50x8_mm/";"/images/imgulab/aksessuar/135x135/8-60-10s.jpg"
"1310";"/katalog_tovarov1/aksessuary/meshalniki/86010_magnitnyj_yakor_60h10_mm/";"/images/imgulab/135x135/8-25-40-60.jpg"
"1295";"/katalog_tovarov1/aksessuary/prinadlezhnosti_laboratornye/6200060_lozhechka_dlya_szhiganiya_s_flancem_200mm_flanec_60_mm/";"/images/imgulab/135x135/6-200-060.jpg"
"1311";"/katalog_tovarov1/aksessuary/meshalniki/830010_izvlekatel_magnitnyh_yakorej/";"/images/imgulab/135x135/8-300-10.jpg"
"1297";"/katalog_tovarov1/aksessuary/prinadlezhnosti_laboratornye/660030_nozh_dlya_steklyannyh_probirok_do_30_mm/";"/images/imgulab/135x135/6-600-30.jpg"
"1299";"/katalog_tovarov1/aksessuary/prinadlezhnosti_laboratornye/61001_kovrik_laboratornyj_ergomat/";"/images/imgulab/135x135/6-100-1.jpg"
"15050";"/katalog_tovarov1/aksessuary/prinadlezhnosti_laboratornye/mufta_ftoroplastovaya_2932/";"/images/imgulab/aksessuar/135x135/6-122-29s.jpg"
"15052";"/katalog_tovarov1/aksessuary/prinadlezhnosti_laboratornye/6190100_prihvatka_laboratornaya/";"/images/imgulab/aksessuar/135x135/6-190-100s.jpg"
"1009";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/centrifugi_laboratornye/uc1512_centrifuga_dlya_probirok_ependorf/";"/images/imgulab/obshelab/135/UC-1512s.jpg"
"1003";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/centrifugi_laboratornye/uc1412a_centrifuga_laboratornaya/";"/images/imgulab/obshelab/135/UC-1412As.jpg"
"1005";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/centrifugi_laboratornye/uc4000e_centrifuga_laboratornaya/";"/images/imgulab/obshelab/135/UC-4000Es.jpg"
"1004";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/centrifugi_laboratornye/uc1412d_centrifuga_laboratornaya/";"/images/imgulab/obshelab/135/UC-1412Ds.jpg"
"1006";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/centrifugi_laboratornye/uc1536e_centrifuga_laboratornaya/";"/images/imgulab/obshelab/135/UC-1536Es.jpg"
"15701";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/kolbonagrevateli/ut4110s_kolbonagrevatel_1000_ml_c_peremeshivaniem/";"/images/imgulab/135x135/4100s_small.jpg"
"15700";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/kolbonagrevateli/ut4100s_kolbonagrevatel_500_ml_c_peremeshivaniem/";"/images/imgulab/135x135/4100s_small.jpg"
"1021";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/kolbonagrevateli/ut4120d_kolbonagrevatel_250_ml/";"/images/pe-lab/ut-4100ds.jpg"
"1022";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/kolbonagrevateli/ut4100d_kolbonagrevatel_500_ml/";"/images/pe-lab/ut-4100ds.jpg"
"1023";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/kolbonagrevateli/ut4110d_kolbonagrevatel_1000_ml/";"/images/pe-lab/ut-4100ds.jpg"
"19944";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/kolbonagrevateli/kolbonagrevatel_4102d_2000_ml_ulab/";"/images/pe-lab/ut-4100ds.jpg"
